meta_num,meta_name,meta_venue,meta_address,meta_date,meta_year,meta_mc,meta_attendees,meta_description,speaker_1_fname,speaker_1_lname,speaker_1_title,speaker_1_company,speaker_1_bio,speaker_1_www,speaker_1_twitter,speaker_2_fname,speaker_2_lname,speaker_2_title,speaker_2_company,speaker_2_bio,speaker_2_www,speaker_2_twitter,speaker_3_fname,speaker_3_lname,speaker_3_title,speaker_3_company,speaker_3_bio,speaker_3_www,speaker_3_twitter,partner_1_name,partner_1_logo,partner_1_www,partner_2_name,partner_2_logo,partner_2_www,partner_3_name,partner_3_logo,partner_3_www,partner_4_name,partner_4_logo,partner_4_www,partner_5_name,partner_5_logo,partner_5_www,panel_title,panel_1_fname,panel_1_lname,panel_1_title,panel_1_company,panel_1_bio,panel_1_www,panel_1_twitter,panel_2_fname,panel_2_lname,panel_2_title,panel_2_company,panel_2_bio,panel_2_www,panel_2_twitter,panel_3_fname,panel_3_lname,panel_3_title,panel_3_company,panel_3_bio,panel_3_www,panel_3_twitter,panel_4_fname,panel_4_lname,panel_4_title,panel_4_company,panel_4_bio,panel_4_www,panel_4_twitter,panel_5_fname,panel_5_lname,panel_5_title,panel_5_company,panel_5_bio,panel_5_www,panel_5_twitter
1,Hello World,Blumsbury Lanes,"Bedford Way, London WC1H 9E",6/3/2013,2013,Gearóid O'Rourke,,,Andrew ,Lucas,Lead UX/UI Designe,How Are You,"Lead UX/UI designer at How Are You, co-founder of Chicly and aspiring food writer at Scran.it",,andyisonline,Sam,Morris,Digital Designer,The Guardian,Digital Designer at The Guardian and creator of BustleApp and Atweeviate.,,sammorrisdesign,Jon,Gold,Designer,Makeshift,"Designer & hacker obsessed with steak, suits, startups & modernism. Making things at Makeshift",,jongold,Event.ly,,http://event.ly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The Second Album,Blumsbury Lanes,"Bedford Way, London WC1H 9E",7/1/2013,2013,Gearóid O'Rourke,,"The first event was a blast, with over 65 designers turning out.Join us for our second event — 7pm, Monday, July 1st at The Kingpin Bowling Suite, WC1H 9EU for more talks, beer and bowling.If you love design, you'll love this.The format of the night is simple: there will be three talks of seven minutes each. What we are aiming for is a mixture of talks: some explaining a concept, some a technique or skill and some show’n’tells. Each talk will contain at least 2 minutes for questions and feedback. Questions and critique are encouraged. Once the talks are finished we'll start the beers and bowling.Design+Banter ""The Second Album"" is kindly supported by our friends at HowAreYou and Evently. Visit their sites and show them some love.",Peter ,Thomas,Product Designer,Huddle,"Product designer at Huddle and general maker of things. Coffee lover, bike rider, aspiring adventurer.",,tuptup,Paul Adam,Davis,Designer,,"Paul is a designer, podcaster, speaker, music lover, drummer and general nerd. .net mag once gave him Young Dev of the year.",,,Tom ,Alterman,UX Lead,Trialshift,London based UX designer & web developer. Currently UX & Front-End Lead at TrialReach as well as a UX Design instructor at General Assembly.,,tomalterman,HowAreYou,,http://howareyou.com,Event.ly,,http://event.ly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Three, it's a magic number",Blumsbury Lanes,"Bedford Way, London WC1H 9E",8/5/2013,2013,Gearóid O'Rourke,,"It's almost time for our third event and Design+Banter is just getting into its stride. The first event was a blast, with over 65 designers turning out. The second event was bigger and better, with just over 90 designers gathering together. Join us on Monday, August 5th, for our third event — if you love design, you'll love this.Pivotal Labs London are proud to sponsor Design+Banter. We provide agile & lean design, engineering, and product management. Let's talk about working together.",Jeff ,Taggart,,Pivotal Labs,"Jeff is a recent transplant as the first engineer to help build the Pivotal Labs - London office. He hails from Colorado. He loves to explore, discuss, and rant about almost anything.",,jetaggart,Nick ,Marsh,Co-founder,Makeshift,"Nick is a co-founder of Makeshift, a new kind of startup studio building digital products that 'give a leg up to the little guy'. He has been called a service designer, user experience consultant and an experience planner.",,choosenick,Stuart ,Neale,,Detica Creative,"After winning ‘most unemployable graduate’ with his degree in Fine Art and Philosophy, Stuart finally found the web (phew!). He lives and breathes user-centred design and currently works at Detica Creative.",,DeticaCreative,Pivotal Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fantastic 4,Blumsbury Lanes,"Bedford Way, London WC1H 9E",9/9/2013,2013,Gearóid O'Rourke,,,Alasdair,Monk,,,,,,Martin,McKenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Five Minutes to Live,Blumsbury Lanes,"Bedford Way, London WC1H 9E",10/15/2013,2013,Gearóid O'Rourke,,,Alice,Tyler,,Mint Digital,,,altyler,Rik,Lomas,Co-founder,Steer,,,,Ayesah,Moarif,,,,,ayeshamoarif,NEVERBLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Interstellar Overdrive (Take 6),Blumsbury Lanes,"Bedford Way, London WC1H 9E",11/11/2013,2013,Gearóid O'Rourke,,,Hannah,Donovan,,,,,han,Jake,Giltsoff,,Typekit,,,jakegiltsoff,Andy,Budd,CEO,Clearleft,,,andybudd,Makeshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A #FFF Christmas,Shoreditch Village Hall,"33 Hoxton Square, London N1 6PB",12/17/2013,2013,Gearóid O'Rourke,,,Devin,Hunt,,,,,hailpixel,Nikki,Sherry,,,,,smallsherry,Simon,Rohrbach,,,,,simonrohrbach,Mint Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,New Year's 2560x1600,BL_NK,"23 Curtain Road, London EC2A 3LT",1/13/2014,2014,Gearóid O'Rourke,,,Chris ,Armstrong,Founder,Niice,,,armstrong,Katie,Buchanan,,,,,curlykatie33,Namit ,Chadha,,,,,namitchadha,Wilson Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Designing 9 to 5,Shoreditch Village Hall,"33 Hoxton Square, London N1 6PB",2/4/2014,2014,Gearóid O'Rourke,,"We're excited to be back at Shoreditch Village Hall for the ninth installment of Design+Banter. There are some great speakers lined up — one flying in all the way from Austin, Texas — as well as the usual locally-sourced craft beer and 175+ designers all in one room. This month the event is very kindly supported by IBM Design. Yes ""that"" IBM. If you love design, you're guaranteed to love this.",Luke ,Murphy-Wearmouth,,,"Luke once built a site on GeoCities. Since then, he’s designed and built things for Microsoft, Hotels.com, O2, FT.com and Pearson. He also tinkers with music at Early Doors Disco, helps run London JS Conf and occasionally chases ghosts through London.",,lurkmoophy,Phil,Gilbert,General Manager,IBM Design,"Phil is General Manager of IBM Design. This division was formed in 2012 and is focused on three things: recruiting & retaining top talented designers, scaling a consistent practice of great design, and simplifying access to IBM’s broad portfolio of capabilities.",,philgilbertsr,Joseph ,Smith,Interaction Designer,Ustwo,"Joseph is a designer working across disciplines. He is currently building Makerversity, a shared making and learning space in the belly of Somerset House as well as working with ustwo as an interaction designer.",,joesmithdesign,IBM Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10xDesigner,BL_NK,"19 Curtain Road, London EC2A 3LT",3/3/2014,2014,Gearóid O'Rourke,,,Cole,Peters,,,,,tcptrs,Laura ,Kalbag,,,,,LauraKalbag,Nicklas ,Persson,,,,,takete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
